City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Hotel Name
siverek,37.755025,39.316667,73.02,38,0,4.76,Mercan Hotel
pataskala,39.9955556,-82.6744444,76.26,49,0,8.05,James Helfrich apartments
seryshevo,51.093333,128.378611,78.08,66,6,5.79,Sel'skiy Dom Kul'tuty
lismore,-28.81328,153.275803,70.93,60,0,2.37,Dawson Motor Inn
byron bay,-28.64201,153.611938,71.01,62,1,5.21,Backpackers Inn
victoria point,-27.58329,153.311722,70.11,66,7,1.99,Bay Retreat Motel
maryborough,-25.54073,152.704926,73.15,48,0,2.82,Blue Shades Motel
mage,-22.655556,-43.015278,73.49,66,2,3.6,Hotel Vagalume
pereira barreto,-20.633333,-51.116667,70.34,45,5,6.91,Hotel Pousada Pantal
ladario,-19.016667,-57.583333,71.58,57,8,2.93,Tucanos Park Hotel
